license_text,yolo_confidence,ocr_confidence
1829338,0.68,"[0.17817306518554688, 0.8695558905601501, 0.5062897205352783, 0.34537774324417114, 0.4959392547607422, 0.40784892439842224, 0.3883422017097473, 0.8762286901473999, 0.9998490810394287]"
3029588,0.75,"[0.6227826476097107, 0.29745787382125854, 0.9805732369422913, 0.27647849917411804, 0.4206168055534363, 0.6433520317077637, 0.7116329073905945, 0.7518329620361328, 0.9965893030166626]"
3823588,0.74,"[0.3917643129825592, 0.5316888093948364, 0.5817304849624634, 0.526057243347168, 0.9746062755584717, 0.5331072807312012, 0.5943644642829895, 0.8417524695396423, 0.9994718432426453]"
5958B88,0.71,"[0.13846354186534882, 0.3509722650051117, 0.2788712680339813, 0.25814908742904663, 0.3493238389492035, 0.43019765615463257, 0.44623512029647827, 0.42580270767211914, 0.9999409914016724]"
2828888,0.75,"[0.7238829135894775, 0.9353494644165039, 0.9924772381782532, 0.5170702338218689, 0.598548173904419, 0.7879606485366821, 0.6160742044448853, 0.9035128355026245, 0.999777615070343]"
2824600,0.74,"[0.30395323038101196, 0.780231773853302, 0.9820828437805176, 0.5567898154258728, 0.6548239588737488, 0.7222912907600403, 0.5578343868255615, 0.9496099352836609, 0.9997797608375549]"
X0246B8,0.71,"[0.8953188061714172, 0.5300042033195496, 0.9851810932159424, 0.8820363283157349, 0.4603503942489624, 0.6949045062065125, 0.3504180610179901, 0.6802796721458435, 0.9991939663887024]"
KO26EO6,0.72,"[0.42411497235298157, 0.24635209143161774, 0.9670414924621582, 0.4677135944366455, 0.8787057995796204, 0.5452850461006165, 0.2922690808773041, 0.6858338117599487, 0.9998435974121094]"
V224600,0.71,"[0.2726922035217285, 0.325745165348053, 0.5407120585441589, 0.7896331548690796, 0.23635756969451904, 0.59632807970047, 0.2388835996389389, 0.9901288151741028, 0.9999182224273682]"
K044C08,0.68,"[0.5135052800178528, 0.44090428948402405, 0.6668207049369812, 0.7332097291946411, 0.1980479210615158, 0.5682111978530884, 0.6210631728172302, 0.9880982041358948, 0.9998483657836914]"
Y024EO8,0.75,"[0.6098421812057495, 0.4454173743724823, 0.987594485282898, 0.9975964426994324, 0.9941224455833435, 0.39903488755226135, 0.5035277605056763, 0.9979524612426758, 0.9999991655349731]"
YC24501,0.73,"[0.9709537029266357, 0.9168055653572083, 0.9814136624336243, 0.9993185997009277, 0.9412763714790344, 0.4876537322998047, 0.47942864894866943, 0.9922546148300171, 0.9999984502792358]"
XO24E88,0.72,"[0.5552628040313721, 0.49812355637550354, 0.9757172465324402, 0.9988473653793335, 0.8292979001998901, 0.2451580911874771, 0.4920913875102997, 0.9987562894821167, 0.9999985694885254]"
Y024EGU,0.73,"[0.4948343336582184, 0.9051092863082886, 0.9999074935913086, 0.9822455644607544, 0.9963196516036987, 0.30834195017814636, 0.47999462485313416, 0.9998505115509033, 0.9999996423721313]"
X024CCU,0.69,"[0.47924166917800903, 0.7806938886642456, 0.9878430366516113, 0.7018092274665833, 0.35192206501960754, 0.43435007333755493, 0.9387125968933105, 0.9923384189605713, 0.9999996423721313]"
Y024EO4,0.66,"[0.9930338859558105, 0.4767829477787018, 0.9971303343772888, 0.7283320426940918, 0.9527908563613892, 0.35100558400154114, 0.3094908595085144, 0.9882760643959045, 0.9999940395355225]"
YO24EDU,0.74,"[0.9882473349571228, 0.8889565467834473, 0.9984172582626343, 0.970834493637085, 0.8696997165679932, 0.6251974105834961, 0.9505948424339294, 0.9993594288825989, 0.9999957084655762]"
YO24EOU,0.71,"[0.9504130482673645, 0.8449096083641052, 0.9916218519210815, 0.9953959584236145, 0.9936842322349548, 0.8979992866516113, 0.8558418154716492, 0.9998075366020203, 0.9999988079071045]"
YO24EDT,0.65,"[0.9982122182846069, 0.8376386761665344, 0.9976644515991211, 0.9999368190765381, 0.9941668510437012, 0.5568738579750061, 0.19495533406734467, 0.9773086905479431, 0.9999514818191528]"
YQ34EOG,0.65,"[0.9970139265060425, 0.9136404395103455, 0.5604201555252075, 0.9998218417167664, 0.8946493268013, 0.8774634003639221, 0.3384837806224823, 0.9988932013511658, 0.999995231628418]"
Y024EOO,0.63,"[0.9806393980979919, 0.6265037059783936, 0.9979718327522278, 0.9992141723632812, 0.3491513729095459, 0.8832358717918396, 0.5360045433044434, 0.9955839514732361, 0.9999964237213135]"
Y021EO1,0.69,"[0.9793258905410767, 0.5578498244285583, 0.9598469138145447, 0.5030394792556763, 0.9094136357307434, 0.429989755153656, 0.3353121876716614, 0.9438467621803284, 0.9999167919158936]"
YD24EO4,0.65,"[0.9392121434211731, 0.5264114737510681, 0.9764477610588074, 0.9909949898719788, 0.9994685053825378, 0.6234583258628845, 0.4672136604785919, 0.9972609281539917, 0.9999655485153198]"
XD24EOI,0.67,"[0.9218372106552124, 0.9035629630088806, 0.5900006294250488, 0.9130943417549133, 0.762732744216919, 0.695398211479187, 0.24146108329296112, 0.7994123697280884, 0.9989621639251709]"
